contest,total.votes,year,city,office,state,council.manager,pres_pctD_08,pres_pctD_16,pres_pctD_20,month,incumbent,margin,pop.estimate,percent_men,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,turnout,log.pop,concurrent,gubernatorial,meanD,mayor,concurrent_pres,concurrent_mid,mayor_elec,same_months,has_mayor
1304204_2010_11_augusta-richmond county_GA_City Council_synthetic at-large c_1,49299,2010,augusta-richmond county consolidated government (balance),City Council,Georgia,1,0.60011458034947,0.672923154616615,0.695059543737147,11,0,56.554344072228524,145201,48.2,51.8,41.8,56,4,2.2,33.95224550795105,11.885874268401459,midterm,1,0.6560324262344106,0,0,1,0,1,1
1304204_2010_11_augusta-richmond county_GA_Mayor_mayor_1,49299,2010,augusta-richmond county consolidated government (balance),Mayor,Georgia,1,0.60011458034947,0.672923154616615,0.695059543737147,11,1,56.554344072228524,145201,48.2,51.8,41.8,56,4,2.2,33.95224550795105,11.885874268401459,midterm,1,0.6560324262344106,1,0,1,1,1,1
2603000_2010_11_ann arbor_MI_Mayor_mayor_1,33940,2010,ann arbor city,Mayor,Michigan,1,0.8246810941169,0.875647215225301,0.885432874836622,11,1,64.74366529169122,97900,49.1,50.9,75.8,9.8,3.7,16,34.66802860061287,11.491701828518602,midterm,1,0.8619203947262744,1,0,1,1,NA,1
2915670_2010_4_columbia_MO_Mayor_mayor_1,18334,2010,columbia city,Mayor,Missouri,1,0.608972176935342,0.614026046105968,0.665579597295762,4,0,31.402499504066654,85189,48.1,51.9,81.7,12.2,3.5,6.1,21.521557947622348,11.352627596501033,none,0,0.6295259401123573,1,0,0,1,NA,1
3451000_2010_5_newark_NJ_Mayor_mayor_1,38462,2010,newark city,Mayor,New Jersey,0,0.944970561893436,0.932894904865279,0.876765132432639,5,1,25.26504199366653,203990,49.6,50.4,30.7,56.2,32.6,1.8,18.854845825775772,12.22582625201701,none,0,0.9182101997304514,1,0,0,1,1,1
3825700_2010_6_fargo_ND_Mayor_mayor_1,9473,2010,fargo city,Mayor,North Dakota,1,0.552027406042151,0.490412731892047,0.542139277235558,6,1,92.64059753954305,82497,50.4,49.6,92.9,2.7,2.1,2.9,11.48284180030789,11.320517208025235,none,0,0.5281931383899187,1,0,0,1,NA,1
423620_2010_5_flagstaff_AZ_Mayor_mayor_1,11805,2010,flagstaff city,Mayor,Arizona,1,0.626453211358872,0.67115169586284,0.692409014116771,5,1,1.8382041507835662,50905,49.5,50.5,75.6,2.7,18.3,3.3,23.190256359886064,10.837716429541295,none,0,0.6633379737794943,1,0,0,1,NA,1
4419180_2010_11_cranston_RI_City Council_synthetic at-large c_3,63077,2010,cranston city,City Council,Rhode Island,0,0.610997792617843,0.541173761621046,0.571700586067905,11,0,1.0659502556547362,63534,49.3,50.7,83.9,5.2,10,5.4,99.28070009758555,11.059330474658509,midterm,1,0.5746240467689313,0,0,1,0,1,1
4419180_2010_11_cranston_RI_Mayor_mayor_1,27278,2010,cranston city,Mayor,Rhode Island,0,0.610997792617843,0.541173761621046,0.571700586067905,11,1,52.60649607742503,63534,49.3,50.7,83.9,5.2,10,5.4,42.93449176818711,11.059330474658509,midterm,1,0.5746240467689313,1,0,1,1,1,1
4459000_2010_11_providence_RI_Mayor_mayor_1,33534,2010,providence city,Mayor,Rhode Island,0,0.834484019935074,0.854650722773027,0.819127778961574,11,0,64.17963857577384,135708,48,52,51.1,17.5,38.2,7.1,24.710407639932797,11.818260797659327,midterm,1,0.8360875072232249,1,0,1,1,NA,1
