contest,total.votes,year,city,office,state,council.manager,pres_pctD_08,pres_pctD_16,pres_pctD_20,month,incumbent,margin,pop.estimate,percent_men,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,turnout,log.pop,concurrent,gubernatorial,meanD,mayor,concurrent_pres,concurrent_mid,mayor_elec,same_months,has_mayor,distance,weights,subclass
1304204_2010_11_augusta-richmond county_GA_City Council_synthetic at-large c_1,49299,2010,augusta-richmond county consolidated government (balance),City Council,Georgia,1,0.60011458034947,0.672923154616615,0.695059543737147,11,0,56.55434407222853,145201,48.2,51.8,41.8,56,4,2.2,33.95224550795105,11.88587426840146,midterm,1,0.6560324262344106,0,0,1,0,1,1,0.516832722900901,1,22
1304204_2010_11_augusta-richmond county_GA_Mayor_mayor_1,49299,2010,augusta-richmond county consolidated government (balance),Mayor,Georgia,1,0.60011458034947,0.672923154616615,0.695059543737147,11,1,56.55434407222853,145201,48.2,51.8,41.8,56,4,2.2,33.95224550795105,11.88587426840146,midterm,1,0.6560324262344106,1,0,1,1,1,1,0.31438848872591846,1,83
3451000_2010_5_newark_NJ_Mayor_mayor_1,38462,2010,newark city,Mayor,New Jersey,0,0.944970561893436,0.932894904865279,0.876765132432639,5,1,25.26504199366653,203990,49.6,50.4,30.7,56.2,32.6,1.8,18.854845825775772,12.22582625201701,none,0,0.9182101997304514,1,0,0,1,1,1,0.39256538609254804,1,1
3825700_2010_6_fargo_ND_Mayor_mayor_1,9473,2010,fargo city,Mayor,North Dakota,1,0.552027406042151,0.490412731892047,0.542139277235558,6,1,92.64059753954304,82497,50.4,49.6,92.9,2.7,2.1,2.9,11.48284180030789,11.320517208025237,none,0,0.5281931383899187,1,0,0,1,NA,1,0.5599957747444742,1,44
4419180_2010_11_cranston_RI_City Council_synthetic at-large c_3,63077,2010,cranston city,City Council,Rhode Island,0,0.610997792617843,0.541173761621046,0.571700586067905,11,0,1.0659502556547362,63534,49.3,50.7,83.9,5.2,10,5.4,99.28070009758557,11.059330474658507,midterm,1,0.5746240467689313,0,0,1,0,1,1,0.8665713554981624,1,12
4419180_2010_11_cranston_RI_Mayor_mayor_1,27278,2010,cranston city,Mayor,Rhode Island,0,0.610997792617843,0.541173761621046,0.571700586067905,11,1,52.60649607742503,63534,49.3,50.7,83.9,5.2,10,5.4,42.93449176818711,11.059330474658507,midterm,1,0.5746240467689313,1,0,1,1,1,1,0.687493269224429,1,23
4459000_2010_11_providence_RI_Mayor_mayor_1,33534,2010,providence city,Mayor,Rhode Island,0,0.834484019935074,0.854650722773027,0.819127778961574,11,0,64.17963857577384,135708,48,52,51.1,17.5,38.2,7.1,24.710407639932797,11.818260797659327,midterm,1,0.8360875072232249,1,0,1,1,NA,1,0.7105894493216585,1,34
4845000_2010_5_lubbock_TX_Mayor_mayor_1,11483,2010,lubbock city,Mayor,Texas,1,0.333504085559359,0.329988999483108,0.376480010389835,5,1,51.74997535245983,170897,49.2,50.8,79.9,8.9,31.2,2.7,6.7192519470792345,12.048816314824387,none,0,0.34665769847743394,1,0,0,1,NA,1,0.593948319874505,1,48
541000_2010_11_little rock_AR_Mayor_mayor_1,54251,2010,little rock city,Mayor,Arkansas,1,0.43649422168759,0.693844715201188,0.708625316833159,11,1,69.47153047870086,143665,47.7,52.3,52.6,43.1,6.4,2.8,37.76215501339923,11.87523947942241,midterm,1,0.612988084573979,1,0,1,1,1,1,0.3728850201179258,1,47
614890_2010_11_colton_CA_Mayor_mayor_1,8185,2010,colton city,Mayor,California,1,0.698407718252412,0.735365949736075,0.684306035239712,11,1,19.63347587049481,35365,48.8,51.2,53.7,11.5,68.1,6.2,23.144351760214903,10.473477909470091,midterm,1,0.706026567742733,1,0,1,1,NA,1,0.776901487711177,1,73
