...1,fips,state,geo_name,population_2020,mass_ideology_2020,mass_ideology_2020_se,pres_pctD_20,pres_pctD_16,pres_pctD_08,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,geo_type,council.manager
644,3774440,North Carolina,Wilmington city,115451,-0.060841112,0.057880416,0.58048627,0.566009812,0.556261186,0.536466047,0.71659151,0.184351964,0.062781836,0.019718122,City,1
433,1938595,Iowa,Iowa City city,74828,-0.490734818,0.067683942,0.808508929,0.783844407,0.659642147,0.503028686,0.752555037,0.082761841,0.058118746,0.084176117,City,1
771,4848072,Texas,Midland city,132524,0.129922233,0.066963597,0.236808052,0.231023102,0.23010301,0.490736129,0.447899299,0.078203379,0.442117951,0.026330035,City,1
353,1310944,Georgia,Brookhaven city,55161,-0.268096672,0.080305662,0.633898045,0.585185185,0.482069268,0.493375945,0.580482729,0.113380033,0.224195916,0.067299653,City,1
493,2545000,Massachusetts,New Bedford city,101079,-0.195750264,0.064387388,0.621278958,0.668358008,0.75210084,0.517970579,0.604531757,0.069677338,0.208171022,0.018710822,City,0
422,1851876,Indiana,Muncie city,65194,-0.079089038,0.060297829,0.548430016,0.540547118,0.665879575,0.52112,0.808698182,0.110676364,0.033730909,0.019898182,City,0
443,2064500,Kansas,Shawnee city,67311,-0.040149945,0.067848293,0.523747646,0.470083752,0.449928944,0.513777846,0.815501984,0.051586817,0.064739091,0.044476655,City,0
356,1342425,Georgia,Johns Creek city,82453,-0.077474219,0.05920607,0.560576414,0.483396924,0.347119085,0.511184657,0.51580376,0.121965738,0.070119882,0.274836605,City,0
555,2937592,Missouri,Joplin city,51762,0.126522813,0.0664462,0.381251369,0.32009327,0.387655327,0.508176875,0.833545032,0.03244949,0.050807764,0.028341206,City,1
415,1827000,Indiana,Gary city,69093,-0.212949056,0.058920554,0.928521973,0.950217066,0.970764486,0.540060518,0.118050257,0.784686225,0.07993685,0.002973293,City,0
526,2686000,Michigan,Westland city,85420,-0.157242205,0.072783203,0.598543834,0.587671348,0.659933628,0.534465083,0.715174888,0.173655691,0.041165271,0.049696112,City,0
643,3757500,North Carolina,Rocky Mount city,54341,-3.13E-04,0.066385656,0.742032748,0.742206183,0.698702715,0.545629537,0.287984894,0.635733666,0.03107355,0.012961062,City,1
511,2634000,Michigan,Grand Rapids city,198917,-0.187866821,0.052897444,0.714555984,0.675904453,0.664308195,0.506353295,0.590410331,0.185578702,0.161032454,0.030851659,City,1
27,455000,Arizona,Phoenix city,1608139,-0.085519209,0.038136539,0.603115229,0.577146285,0.510066383,0.501673896,0.425475056,0.071160925,0.426193359,0.04527387,City,1
92,622678,California,Encinitas city,62007,-0.19582733,0.097436412,0.684101371,0.667748236,0.623877508,0.508028034,0.778671551,0.008171392,0.138260593,0.065179994,City,1
50,602462,California,Arcadia city,56681,-0.259252788,0.078155297,0.606329275,0.601359141,0.525364475,0.526396341,0.221161783,0.019500619,0.110967809,0.630313661,City,1
