contest,total.votes,year,city,office,state,council.manager,pop.estimate,turnout
1304204_2010_11_augusta-richmond county_GA_Mayor_mayor_1,49299,2010,augusta-richmond county consolidated government (balance),Mayor,Georgia,1,193532,25.473306739970653
2360545_2010_12_portland_ME_Mayor_mayor_1,9,2010,portland city,Mayor,Maine,1,66138,0.013607910732105597
2603000_2010_11_ann arbor_MI_Mayor_mayor_1,33940,2010,ann arbor city,Mayor,Michigan,1,115204,29.46078261171487
2915670_2010_4_columbia_MO_Mayor_mayor_1,18334,2010,columbia city,Mayor,Missouri,1,104620,17.524373924679793
3451000_2010_5_newark_NJ_Mayor_mayor_1,38462,2010,newark city,Mayor,New Jersey,0,274674,14.002781479135265
3825700_2010_6_fargo_ND_Mayor_mayor_1,9473,2010,fargo city,Mayor,North Dakota,1,102527,9.239517395417792
4131250_2010_11_gresham_OR_Mayor_mayor_1,19573,2010,gresham city,Mayor,Oregon,1,101450,19.293247905372105
423620_2010_5_flagstaff_AZ_Mayor_mayor_1,11805,2010,flagstaff city,Mayor,Arizona,1,63909,18.47157677322443
4419180_2010_11_cranston_RI_Mayor_mayor_1,27278,2010,cranston city,Mayor,Rhode Island,0,80580,33.85207247455944
4459000_2010_11_providence_RI_Mayor_mayor_1,33534,2010,providence city,Mayor,Rhode Island,0,178286,18.809104472588984
4845000_2010_5_lubbock_TX_Mayor_mayor_1,11483,2010,lubbock city,Mayor,Texas,1,222272,5.166192772818889
5157000_2010_5_norfolk_VA_Mayor_mayor_1,26205,2010,norfolk city,Mayor,Virginia,1,242143,10.822117509075216
541000_2010_11_little rock_AR_Mayor_mayor_1,54251,2010,little rock city,Mayor,Arkansas,1,190718,28.445663230528844
614890_2010_11_colton_CA_Mayor_mayor_1,8185,2010,colton city,Mayor,California,1,52187,15.683982601030907
622804_2010_11_escondido_CA_Mayor_mayor_1,31016,2010,escondido city,Mayor,California,1,140998,21.997475141491368
636770_2010_11_irvine_CA_Mayor_mayor_1,54017,2010,irvine city,Mayor,California,1,199117,27.12827131786839
656784_2010_11_petaluma_CA_Mayor_mayor_1,21586,2010,petaluma city,Mayor,California,1,56689,38.077933990721306
669000_2010_11_santa ana_CA_Mayor_mayor_1,43652,2010,santa ana city,Mayor,California,1,325216,13.422463839417494
669084_2010_11_santa clara_CA_Mayor_mayor_1,24055,2010,santa clara city,Mayor,California,1,112466,21.388686358543914
681554_2010_11_vacaville_CA_Mayor_mayor_1,24643,2010,vacaville city,Mayor,California,1,91928,26.806848838221214
937000_2010_6_hartford_CT_Mayor_mayor_1,1,2010,hartford city,Mayor,Connecticut,0,124760,8.01538954793203e-4
1304204_2010_11_augusta-richmond county_GA_City Council_synthetic at-large c_1,49299,2010,augusta-richmond county consolidated government (balance),City Council,Georgia,1,193532,25.473306739970653
3451000_2010_5_newark_NJ_City Council_synthetic at-large c_4,101175,2010,newark city,City Council,New Jersey,0,274674,36.83457480504161
4419180_2010_11_cranston_RI_City Council_synthetic at-large c_3,63077,2010,cranston city,City Council,Rhode Island,0,80580,78.27872921320427
602252_2010_11_antioch_CA_City Council_synthetic at-large c_2,37976,2010,antioch city,City Council,California,1,99717,38.08377708916233
602462_2010_4_arcadia_CA_City Council_synthetic at-large c_3,19268,2010,arcadia city,City Council,California,1,55704,34.589975585236246
622678_2010_11_encinitas_CA_City Council_synthetic at-large c_2,38642,2010,encinitas city,City Council,California,1,58761,65.76130426643522
622804_2010_11_escondido_CA_City Council_synthetic at-large c_2,53394,2010,escondido city,City Council,California,1,140998,37.86862224996099
